name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"Best Orthopedic doctor in Bagh Amberpet Hyderabad | Physiotherapy Centre | Ayu Health Hospital","2-2-1109&5/A, Vaibhav Nagar Colony, Department of Orthopedics, Bagh Amberpet, Hyderabad, Telangana 500013","ayu.health","040 4520 8938","","","Orthopedic surgeon","","Orthopedics Hospital","Boudha Nagar","500013","https://www.google.com/maps/search/?api=1&query=Best+Orthopedic+doctor+in+Bagh+Amberpet+Hyderabad+%7C+Physiotherapy+Centre+%7C+Ayu+Health+Hospital+2-2-1109%265%2FA%2C+Vaibhav+Nagar+Colony%2C+Department+of+Orthopedics%2C+Bagh+Amberpet%2C+Hyderabad%2C+Telangana+500013","Orthopedics_Hospital"
"Anagha multi-speciality Clinic","12-12-162, near flyover, Ravindra Nagar, Seethaphalmandi, Mettuguda, Secunderabad, Telangana 500061","","093815 80841","17","5","Medical clinic"," · Opens 10am Thu","Orthopedics Hospital","Boudha Nagar","500061","https://www.google.com/maps/search/?api=1&query=Anagha+multi-speciality+Clinic+12-12-162%2C+near+flyover%2C+Ravindra+Nagar%2C+Seethaphalmandi%2C+Mettuguda%2C+Secunderabad%2C+Telangana+500061","Orthopedics_Hospital"
"Dr. P Madhu Orthopaedics Surgeon","162, near bridge, Ravindra Nagar, Seethaphalmandi, Mettuguda, Secunderabad, Telangana 500017","drmadhuortho.com","081423 41631","1","5","Orthopedic surgeon","","Orthopedics Hospital","Seethaphalmandi","500017","https://www.google.com/maps/search/?api=1&query=Dr.+P+Madhu+Orthopaedics+Surgeon+162%2C+near+bridge%2C+Ravindra+Nagar%2C+Seethaphalmandi%2C+Mettuguda%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"M & M Hospital Orthopaedic & Multi Speciality","CGGF+CH2, Seethaphalmandi Rd, Ravindra Nagar, Seethaphalmandi, Amberpet, Hyderabad, Secunderabad, Telangana 500007","","","","","Hospital","","Orthopedics Hospital","Seethaphalmandi","500007","https://www.google.com/maps/search/?api=1&query=M+%26+M+Hospital+Orthopaedic+%26+Multi+Speciality+CGGF%2BCH2%2C+Seethaphalmandi+Rd%2C+Ravindra+Nagar%2C+Seethaphalmandi%2C+Amberpet%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500007","Orthopedics_Hospital"
"MANTHRI RANI MULTISPECIALITY CLINIC & DIAGNOSTICS","Plot No : 18, SP Nagar, Bharat Nagar, Moosapet, Hyderabad, Telangana 500018","","085009 29394","8","3","Orthopedic clinic","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=MANTHRI+RANI+MULTISPECIALITY+CLINIC+%26+DIAGNOSTICS+Plot+No+%3A+18%2C+SP+Nagar%2C+Bharat+Nagar%2C+Moosapet%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"KONNECT CLINICS (ORTHO SPINE PHYSIO)","FC9F+RWQ, Moosapet Cross Rd, Patel Nagar, Moosapet, Hyderabad, Telangana 500018","","095533 27279","3","3.7","Medical clinic"," · Opens 9am Thu","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=KONNECT+CLINICS+%28ORTHO+SPINE+PHYSIO%29+FC9F%2BRWQ%2C+Moosapet+Cross+Rd%2C+Patel+Nagar%2C+Moosapet%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Amor Hospitals | Best Hospital in Kukatpally Hyderabad","KKR NKNR Commercial Complex, 6-16/31/5, NH65, Habeeb Nagar, Kukatpally, Hyderabad, Telangana 500072","amorhospitals.com","040 6606 9999","6484","4.7","Hospital","","Orthopedics Hospital","Moosapet","500072","https://www.google.com/maps/search/?api=1&query=Amor+Hospitals+%7C+Best+Hospital+in+Kukatpally+Hyderabad+KKR+NKNR+Commercial+Complex%2C+6-16%2F31%2F5%2C+NH65%2C+Habeeb+Nagar%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500072","Orthopedics_Hospital"
"Aradhya Multi Speciality Hospital","12/5/26, Moosapet Rd, Anjaya Nagar, Pragathi Nagar, Moosapet, Hyderabad, Telangana 500018","aradhyamultispeciality.com","093901 13366","114","3.8","Hospital","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Aradhya+Multi+Speciality+Hospital+12%2F5%2F26%2C+Moosapet+Rd%2C+Anjaya+Nagar%2C+Pragathi+Nagar%2C+Moosapet%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Rithaniah Advanced Ortho And Neuro Care","Bharath Nagar Station Rd, Madhavi Estate, Moti Nagar, Erragadda, Hyderabad, Telangana 500114","","099489 90298","77","4.9","Pain management physician"," · 10pm · Opens 6:30pm Thu","Orthopedics Hospital","Moosapet","500114","https://www.google.com/maps/search/?api=1&query=Rithaniah+Advanced+Ortho+And+Neuro+Care+Bharath+Nagar+Station+Rd%2C+Madhavi+Estate%2C+Moti+Nagar%2C+Erragadda%2C+Hyderabad%2C+Telangana+500114","Orthopedics_Hospital"
"Extreme Orthopedics | Best Knee Replacement in Hyderabad","Amor Hospitals - Orthopaedics & Orthopaedic Oncology Dept, NH65 kkr nknr commercial complex, 6-16/31/5, Habeeb Nagar, Kukatpally, Hyderabad, Telangana 500072","","090320 27279","81","4.9","Orthopedic clinic","","Orthopedics Hospital","Moosapet","500072","https://www.google.com/maps/search/?api=1&query=Extreme+Orthopedics+%7C+Best+Knee+Replacement+in+Hyderabad+Amor+Hospitals+-+Orthopaedics+%26+Orthopaedic+Oncology+Dept%2C+NH65+kkr+nknr+commercial+complex%2C+6-16%2F31%2F5%2C+Habeeb+Nagar%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500072","Orthopedics_Hospital"
"Vasundhara Hospital","kaleem residential, 12-6-36/4/C, Vasundhara Hospital Rd, opp. KP Bus Depot, Srihari Nagar, Pragathi Nagar, Moosapet, Hyderabad, Telangana 500018","","093927 94321","192","4","Hospital","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Vasundhara+Hospital+kaleem+residential%2C+12-6-36%2F4%2FC%2C+Vasundhara+Hospital+Rd%2C+opp.+KP+Bus+Depot%2C+Srihari+Nagar%2C+Pragathi+Nagar%2C+Moosapet%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Dr Ravindranath Orthopedic","Moti Nagar Main Rd, Madhavi Estate, Moti Nagar, Erragadda, Hyderabad, Telangana 500114","","098493 86816","8","4.4","Orthopedic surgeon"," · 10pm · Opens 9pm Thu","Orthopedics Hospital","Moosapet","500114","https://www.google.com/maps/search/?api=1&query=Dr+Ravindranath+Orthopedic+Moti+Nagar+Main+Rd%2C+Madhavi+Estate%2C+Moti+Nagar%2C+Erragadda%2C+Hyderabad%2C+Telangana+500114","Orthopedics_Hospital"
"Re Life Hospitals","HIG50, Road No. 1, HIG, Bharat Nagar, Moosapet, Hyderabad, Telangana 500018","","090671 17456","74","4.5","Pediatrician","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Re+Life+Hospitals+HIG50%2C+Road+No.+1%2C+HIG%2C+Bharat+Nagar%2C+Moosapet%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"St. Theresa’s Multi Specialty Hospital","7-1-645/A, Erragadda Main Rd, opposite Rhythubazar, BK Guda, Sanath Nagar, Hyderabad, Telangana 500038","sttheresashospital.com","040 2370 1013","2877","4.5","Hospital","","Orthopedics Hospital","Moosapet","500038","https://www.google.com/maps/search/?api=1&query=St.+Theresa%E2%80%99s+Multi+Specialty+Hospital+7-1-645%2FA%2C+Erragadda+Main+Rd%2C+opposite+Rhythubazar%2C+BK+Guda%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"Ayu Health Hospital","Department of Orthopedics, Sanath Nagar Main Rd, Czech Colony, Sanath Nagar, Hyderabad, Telangana 500018","ayu.health","040 4520 8938","","","Orthopedic surgeon","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Ayu+Health+Hospital+Department+of+Orthopedics%2C+Sanath+Nagar+Main+Rd%2C+Czech+Colony%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Renova Neelima Hospitals | Best Multispeciality Hospital in Hyderabad | Sanath Nagar","Voltas company Pvt Ltd, Opp:, 7-2-1735, Sanath Nagar Main Rd, Sanath Nagar, Hyderabad, Telangana 500018","renovahospitals.com","040 2111 1100","3042","4.3","Private hospital","","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Renova+Neelima+Hospitals+%7C+Best+Multispeciality+Hospital+in+Hyderabad+%7C+Sanath+Nagar+Voltas+company+Pvt+Ltd%2C+Opp%3A%2C+7-2-1735%2C+Sanath+Nagar+Main+Rd%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Unani Orthopaedic Fracture Clinic","Czech Colony, Sanath Nagar, Hyderabad, Telangana 500018","","098491 42823","13","5","Massage therapist"," · Opens 11am Thu","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Unani+Orthopaedic+Fracture+Clinic+Czech+Colony%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Alavi Hospital","5-120/2, Jeedimetla Main Road, HMT Rd, opposite Asian sha theater, Shiva Nagar, Chinthal, Hyderabad, Telangana 500054","alavihospitals.in","095331 21257","447","4.4","Hospital","","Orthopedics Hospital","Moosapet","500054","https://www.google.com/maps/search/?api=1&query=Alavi+Hospital+5-120%2F2%2C+Jeedimetla+Main+Road%2C+HMT+Rd%2C+opposite+Asian+sha+theater%2C+Shiva+Nagar%2C+Chinthal%2C+Hyderabad%2C+Telangana+500054","Orthopedics_Hospital"
"Dr. Sudheer Kumar Pothu, Best Orthopaedics & Spine Surgeon in Hyderabad","2nd floor, Cygnet Superspeciality Clinics, Fairmount Fortune One, above Max Store, beside Metro Station Erragadda, Czech Colony, Sanath Nagar, Hyderabad, Telangana 500018","drsudheerorthospine.com","079979 95500","183","4.9","Orthopedic surgeon"," · Opens 11am Thu","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Dr.+Sudheer+Kumar+Pothu%2C+Best+Orthopaedics+%26+Spine+Surgeon+in+Hyderabad+2nd+floor%2C+Cygnet+Superspeciality+Clinics%2C+Fairmount+Fortune+One%2C+above+Max+Store%2C+beside+Metro+Station+Erragadda%2C+Czech+Colony%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Ananya Hospital","H.No:5-1-97/B 5-1-97 NR, Ramalayam Rd, near Old Shivalayam, Hyderabad, Telangana 500072","ananyahospitals.com","093907 43880","3307","4.8","Hospital","","Orthopedics Hospital","Moosapet","500072","https://www.google.com/maps/search/?api=1&query=Ananya+Hospital+H.No%3A5-1-97%2FB+5-1-97+NR%2C+Ramalayam+Rd%2C+near+Old+Shivalayam%2C+Hyderabad%2C+Telangana+500072","Orthopedics_Hospital"
"RNC Hospitals | Best Hospital in Balanagar Hyderabad","6-3-77/1, Balanagar X Roads, Pillar No. 21/22, Balanagar, Dist, Hyderabad, Telangana 500037","rnchospitals.com","062620 99995","275","4.8","Hospital","","Orthopedics Hospital","Moosapet","500037","https://www.google.com/maps/search/?api=1&query=RNC+Hospitals+%7C+Best+Hospital+in+Balanagar+Hyderabad+6-3-77%2F1%2C+Balanagar+X+Roads%2C+Pillar+No.+21%2F22%2C+Balanagar%2C+Dist%2C+Hyderabad%2C+Telangana+500037","Orthopedics_Hospital"
"Dr.Karnakar Kolla (Rithaniah Adavanced Ortho & Neuro Care)","Sri Nilayam, 13-9-180, beside Renova Nellima Hospital, Sultan Bagh, Erragadda, Hyderabad, Telangana 500114","","","2","5","Doctor"," · 10pm · Opens 5pm Thu","Orthopedics Hospital","Moosapet","500114","https://www.google.com/maps/search/?api=1&query=Dr.Karnakar+Kolla+%28Rithaniah+Adavanced+Ortho+%26+Neuro+Care%29+Sri+Nilayam%2C+13-9-180%2C+beside+Renova+Nellima+Hospital%2C+Sultan+Bagh%2C+Erragadda%2C+Hyderabad%2C+Telangana+500114","Orthopedics_Hospital"
"Dr K L Narasimha Rao","1-64/7, Motinagar Ext Rd, Moti Nagar, Erragadda, Hyderabad, Telangana 500114","","040 2383 3579","10","4.1","Doctor","","Orthopedics Hospital","Moosapet","500114","https://www.google.com/maps/search/?api=1&query=Dr+K+L+Narasimha+Rao+1-64%2F7%2C+Motinagar+Ext+Rd%2C+Moti+Nagar%2C+Erragadda%2C+Hyderabad%2C+Telangana+500114","Orthopedics_Hospital"
"Halcyon Pain Management Center","3rd Floor, KKR Commercial Complex, Y Junction, Moosapet Rd, Pragathi Nagar, Kukatpally, Hyderabad, Telangana 500018","halcyonpainfree.com","","871","4.9","Pain control clinic"," · Opens 9am Thu","Orthopedics Hospital","Moosapet","500018","https://www.google.com/maps/search/?api=1&query=Halcyon+Pain+Management+Center+3rd+Floor%2C+KKR+Commercial+Complex%2C+Y+Junction%2C+Moosapet+Rd%2C+Pragathi+Nagar%2C+Kukatpally%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Aster Orthopaedics, Sports & Rehab Centre - Top Orthopedic & Joint Replacement Hospital in Hyderabad","HMDA Maitrivanam, Plot No 4, Satyam Theatre Rd, beside Blue Fox Hotel, Kumar Basti, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500038","asterhospitals.in","079 4281 0189","24","5","Orthopedic clinic","","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Aster+Orthopaedics%2C+Sports+%26+Rehab+Centre+-+Top+Orthopedic+%26+Joint+Replacement+Hospital+in+Hyderabad+HMDA+Maitrivanam%2C+Plot+No+4%2C+Satyam+Theatre+Rd%2C+beside+Blue+Fox+Hotel%2C+Kumar+Basti%2C+Srinivasa+Nagar%2C+Ameerpet%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"Medi Star Hospitals | Emergency Care, Urology, Gynecology, Radiology | Orthopedics | Neurology | Ameerpet hyderabad","Murthy Mansion, Hmda Maitrivanam, H.No;8-3-214/2, Ameerpet, Hyderabad, Telangana 500038","medistarhospitals.in","092481 12284","615","4.5","Private hospital","","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Medi+Star+Hospitals+%7C+Emergency+Care%2C+Urology%2C+Gynecology%2C+Radiology+%7C+Orthopedics+%7C+Neurology+%7C+Ameerpet+hyderabad+Murthy+Mansion%2C+Hmda+Maitrivanam%2C+H.No%3B8-3-214%2F2%2C+Ameerpet%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"BBR Super Speciality Hospital","1ST FLOOR, BBR BLOOD BANK, 7-4-194, 7-4-194, Balanagar Main Rd, Navajeevan Nagar, Ferozguda, Balanagar, Secunderabad, Hyderabad, Telangana 500042","bbrhospital.com","097047 55301","493","3.2","General hospital","","Orthopedics Hospital","Fathenagar","500042","https://www.google.com/maps/search/?api=1&query=BBR+Super+Speciality+Hospital+1ST+FLOOR%2C+BBR+BLOOD+BANK%2C+7-4-194%2C+7-4-194%2C+Balanagar+Main+Rd%2C+Navajeevan+Nagar%2C+Ferozguda%2C+Balanagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500042","Orthopedics_Hospital"
"Dr. Kartheek orthopaedic surgeon","Medi Star Hospitals | Emergency Care, Urology, Gynecology, Radiology | Orthopedics | Neurology | Ameerpet hyderabad, Murthy Mansion, Maithrivanam, Ameerpet, Hyderabad, Telangana 500038","","","2","4","Hospital"," · Opens 10am Thu","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Dr.+Kartheek+orthopaedic+surgeon+Medi+Star+Hospitals+%7C+Emergency+Care%2C+Urology%2C+Gynecology%2C+Radiology+%7C+Orthopedics+%7C+Neurology+%7C+Ameerpet+hyderabad%2C+Murthy+Mansion%2C+Maithrivanam%2C+Ameerpet%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"Aster Prime Hospital - Best Multispeciality Hospital in Hyderabad","Plot No 4, HMDA Maitrivanam, Satyam Theatre Rd, beside Blue Fox Hotel, Kumar Basti, Srinivasa Nagar, Ameerpet, Hyderabad, Telangana 500038","asterhospitals.in","040 4959 4959","17869","4.8","Hospital","","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Aster+Prime+Hospital+-+Best+Multispeciality+Hospital+in+Hyderabad+Plot+No+4%2C+HMDA+Maitrivanam%2C+Satyam+Theatre+Rd%2C+beside+Blue+Fox+Hotel%2C+Kumar+Basti%2C+Srinivasa+Nagar%2C+Ameerpet%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"CHARAN ORTHO CARE AND CHARISTHA CLINICS","Street 1, Plot 4, opp. Gokul Theatre, Czech Colony, Sanath Nagar, Hyderabad, Telangana 500018","charanortho.com","081212 92675","7","5","Orthopedic surgeon"," · Opens 5pm Thu","Orthopedics Hospital","Fathenagar","500018","https://www.google.com/maps/search/?api=1&query=CHARAN+ORTHO+CARE+AND+CHARISTHA+CLINICS+Street+1%2C+Plot+4%2C+opp.+Gokul+Theatre%2C+Czech+Colony%2C+Sanath+Nagar%2C+Hyderabad%2C+Telangana+500018","Orthopedics_Hospital"
"Sai Orthopaedic Clinic, Dr Yvs Prabhakar Ms Ortho..","B/4, Vamika Arcade, Madhura Nagar, Hyderabad, Telangana 500038","","","","","Hospital"," · Opens 6:30pm Thu","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Sai+Orthopaedic+Clinic%2C+Dr+Yvs+Prabhakar+Ms+Ortho..+B%2F4%2C+Vamika+Arcade%2C+Madhura+Nagar%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"MEDS Orthopedic & Spine Center","1st Floor, MEDS Super Speciality Hospital, 102, Post Office Rd, opp. JIO Office, LBS Nagar, Shastri Nagar, Vijayanagar Colony, Balanagar, Hyderabad, Telangana 500057","","","","","Orthopedic clinic","","Orthopedics Hospital","Fathenagar","500057","https://www.google.com/maps/search/?api=1&query=MEDS+Orthopedic+%26+Spine+Center+1st+Floor%2C+MEDS+Super+Speciality+Hospital%2C+102%2C+Post+Office+Rd%2C+opp.+JIO+Office%2C+LBS+Nagar%2C+Shastri+Nagar%2C+Vijayanagar+Colony%2C+Balanagar%2C+Hyderabad%2C+Telangana+500057","Orthopedics_Hospital"
"Dr. B Vipin","7-4, BBR, Super Speciality Hospital, 194, Navajeevan Nagar, Ferozguda, Balanagar, Secunderabad, Hyderabad, Telangana 500011","","040 2377 9966","3","5","Surgeon"," · Opens 10am Thu","Orthopedics Hospital","Fathenagar","500011","https://www.google.com/maps/search/?api=1&query=Dr.+B+Vipin+7-4%2C+BBR%2C+Super+Speciality+Hospital%2C+194%2C+Navajeevan+Nagar%2C+Ferozguda%2C+Balanagar%2C+Secunderabad%2C+Hyderabad%2C+Telangana+500011","Orthopedics_Hospital"
"Maa ortho care .SR Nagar branch","G2, Sai Manor Complex, Sanjeeva Reddy Nagar Office Area, Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038","maafetalmedicine.com","070950 01234","1","5","Orthopedic clinic"," · Opens 5pm Thu","Orthopedics Hospital","Fathenagar","500038","https://www.google.com/maps/search/?api=1&query=Maa+ortho+care+.SR+Nagar+branch+G2%2C+Sai+Manor+Complex%2C+Sanjeeva+Reddy+Nagar+Office+Area%2C+Sanjeeva+Reddy+Nagar%2C+Hyderabad%2C+Telangana+500038","Orthopedics_Hospital"
"Apollo Spectra Hospitals","7-1-57/B&C, Shyam Karan Rd, आनंद्बघ, Ameerpet, Hyderabad, Telangana 500016","apollospectra.com","040 2378 2378","3905","4.8","Hospital","","Orthopedics Hospital","Fathenagar","500016","https://www.google.com/maps/search/?api=1&query=Apollo+Spectra+Hospitals+7-1-57%2FB%26C%2C+Shyam+Karan+Rd%2C+%E0%A4%86%E0%A4%A8%E0%A4%82%E0%A4%A6%E0%A5%8D%E0%A4%AC%E0%A4%98%2C+Ameerpet%2C+Hyderabad%2C+Telangana+500016","Orthopedics_Hospital"
"Srikara Hospitals, RTC Cross Roads","Srikara Hospitals, RTC Cross Roads, Street Number 18, near RTC X Road, beside NABARD, Musheerabad, Zamistanpur, Kavadiguda, Hyderabad, Telangana 500020","srikarahospitals.com","040 6911 6911","4795","4.8","Hospital","Open 24 hours","Orthopedics Hospital","Chilkalguda","500020","https://www.google.com/maps/search/?api=1&query=Srikara+Hospitals%2C+RTC+Cross+Roads+Srikara+Hospitals%2C+RTC+Cross+Roads%2C+Street+Number+18%2C+near+RTC+X+Road%2C+beside+NABARD%2C+Musheerabad%2C+Zamistanpur%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500020","Orthopedics_Hospital"
"S.A. RAZZAK AND SON S.A. BARI BONE SETTING CENTRE","11-4-505, opp. Life Spring Hospital, Chilkalguda, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500061","sarazzakandsonbari.com","093999 97800","9","4.3","Physiotherapy Center"," · 11pm · Opens 7pm Thu","Orthopedics Hospital","Chilkalguda","500061","https://www.google.com/maps/search/?api=1&query=S.A.+RAZZAK+AND+SON+S.A.+BARI+BONE+SETTING+CENTRE+11-4-505%2C+opp.+Life+Spring+Hospital%2C+Chilkalguda%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500061","Orthopedics_Hospital"
"TX Hospitals Kachiguda","3-2-841/1, Kachiguda Station Rd, Mahalaxmi Nilayam, Chappal Bazar, Kachiguda, Hyderabad, Telangana 500027","txhospitals.in","091445 14459","6735","4.8","Hospital","","Orthopedics Hospital","Chilkalguda","500027","https://www.google.com/maps/search/?api=1&query=TX+Hospitals+Kachiguda+3-2-841%2F1%2C+Kachiguda+Station+Rd%2C+Mahalaxmi+Nilayam%2C+Chappal+Bazar%2C+Kachiguda%2C+Hyderabad%2C+Telangana+500027","Orthopedics_Hospital"
"Guru Nanak CARE Hospitals, Musheerabad | Best Hospital in Musheerabad","1-4-908/7/1, near Raja Deluxe Theatre, Musheerabad, Bakaram, Kavadiguda, Hyderabad, Telangana 500020","carehospitals.com","040 6810 6589","1892","4.4","Hospital","","Orthopedics Hospital","Chilkalguda","500020","https://www.google.com/maps/search/?api=1&query=Guru+Nanak+CARE+Hospitals%2C+Musheerabad+%7C+Best+Hospital+in+Musheerabad+1-4-908%2F7%2F1%2C+near+Raja+Deluxe+Theatre%2C+Musheerabad%2C+Bakaram%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500020","Orthopedics_Hospital"
"Geetha nursing home","CGJ6+8V4, Sridevi Theater Ln, Railway Colony, Chilakalguda, Secunderabad, Telangana 500061","geethahospitals.com","040 2750 2899","35","3.7","Hospital","","Orthopedics Hospital","Chilkalguda","500061","https://www.google.com/maps/search/?api=1&query=Geetha+nursing+home+CGJ6%2B8V4%2C+Sridevi+Theater+Ln%2C+Railway+Colony%2C+Chilakalguda%2C+Secunderabad%2C+Telangana+500061","Orthopedics_Hospital"
"Kasturi Hospital & IVF Centre in Secunderabad","st. John's Road, 10-3-167/A, opp. Wesley Girls Junior College, Railway Colony, Chilakalguda, Secunderabad, Telangana 500003","kasturihospitals.com","072073 75534","507","4.5","General hospital","","Orthopedics Hospital","Chilkalguda","500003","https://www.google.com/maps/search/?api=1&query=Kasturi+Hospital+%26+IVF+Centre+in+Secunderabad+st.+John%27s+Road%2C+10-3-167%2FA%2C+opp.+Wesley+Girls+Junior+College%2C+Railway+Colony%2C+Chilakalguda%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Sri Ram Hospital - Best Orthopedic Surgeon In Manikonda","1st floor, Orthopedic Hospitals pipeline road, Sriram Clinics, Puppalaguda - Manikonda, above apollo Pharmacy, Sri Ram Nagar Colony, Hyderabad, Telangana 500089","sriramhospitalsortho.com","097010 00220","2186","4.7","Orthopedic clinic"," · Opens 8am Thu","Orthopedics Hospital","Chilkalguda","500089","https://www.google.com/maps/search/?api=1&query=Sri+Ram+Hospital+-+Best+Orthopedic+Surgeon+In+Manikonda+1st+floor%2C+Orthopedic+Hospitals+pipeline+road%2C+Sriram+Clinics%2C+Puppalaguda+-+Manikonda%2C+above+apollo+Pharmacy%2C+Sri+Ram+Nagar+Colony%2C+Hyderabad%2C+Telangana+500089","Orthopedics_Hospital"
"South Central Railway Central Hospital","Rail Kalyan, Lallaguda Railway Colony, Lalaguda, Mettuguda, Secunderabad, Telangana 500017","","040 2778 9176","336","3.3","Government hospital"," · Opens 8am Thu","Orthopedics Hospital","Chilkalguda","500017","https://www.google.com/maps/search/?api=1&query=South+Central+Railway+Central+Hospital+Rail+Kalyan%2C+Lallaguda+Railway+Colony%2C+Lalaguda%2C+Mettuguda%2C+Secunderabad%2C+Telangana+500017","Orthopedics_Hospital"
"Asif's Unani Bone Setting Center","Chilkalguda, Mylargadda, Padmarao Nagar, Hyderabad, Secunderabad, Telangana 500061","","097000 19443","7","4.4","Chiropractor"," · Opens 10am Thu","Orthopedics Hospital","Chilkalguda","500061","https://www.google.com/maps/search/?api=1&query=Asif%27s+Unani+Bone+Setting+Center+Chilkalguda%2C+Mylargadda%2C+Padmarao+Nagar%2C+Hyderabad%2C+Secunderabad%2C+Telangana+500061","Orthopedics_Hospital"
"Gandhi Hospital","Musheerabad, Walker Town, Padmarao Nagar, Secunderabad, Telangana 500003","telangana.gov.in","","1641","3.5","Government hospital","","Orthopedics Hospital","Chilkalguda","500003","https://www.google.com/maps/search/?api=1&query=Gandhi+Hospital+Musheerabad%2C+Walker+Town%2C+Padmarao+Nagar%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
"Zoi Hospitals, Somajiguda","Plot No. 6-3, 1106/1/A, Raj Bhavan Rd, adj. HSBC bank, Nishat Bagh Colony, Somajiguda, Hyderabad, Telangana 500082","zoihospitals.com","040 4720 1201","933","4.5","General hospital","","Orthopedics Hospital","Chilkalguda","500082","https://www.google.com/maps/search/?api=1&query=Zoi+Hospitals%2C+Somajiguda+Plot+No.+6-3%2C+1106%2F1%2FA%2C+Raj+Bhavan+Rd%2C+adj.+HSBC+bank%2C+Nishat+Bagh+Colony%2C+Somajiguda%2C+Hyderabad%2C+Telangana+500082","Orthopedics_Hospital"
"Dr. Chakri's Hospital","9FPP+2JP, Sri Yogeshwara Complex, Madinaguda, Hafeezpet, Hyderabad, Telangana 500001","","096185 15005","1","5","Orthopedic clinic","","Orthopedics Hospital","Chilkalguda","500001","https://www.google.com/maps/search/?api=1&query=Dr.+Chakri%27s+Hospital+9FPP%2B2JP%2C+Sri+Yogeshwara+Complex%2C+Madinaguda%2C+Hafeezpet%2C+Hyderabad%2C+Telangana+500001","Orthopedics_Hospital"
"Yashoda Hospitals | Best Hospital in Secunderabad","Alexander Rd, Kummari Guda, Shivaji Nagar, Secunderabad, Telangana 500003","yashodahospitals.com","040 4567 4567","28064","4.7","Hospital","","Orthopedics Hospital","Chilkalguda","500003","https://www.google.com/maps/search/?api=1&query=Yashoda+Hospitals+%7C+Best+Hospital+in+Secunderabad+Alexander+Rd%2C+Kummari+Guda%2C+Shivaji+Nagar%2C+Secunderabad%2C+Telangana+500003","Orthopedics_Hospital"
