name,address,website,phone_number,reviews_count,reviews_average,place_type,opens_at,search_category,search_area,pincode,google_map_link,sheet_category
"A M physiotherapy home services,","Sai Ram Colony, Sri Sai Ram Colony, Old Hafeezpet, Janapriya Nagar, Hafeezpet, Miyapur, Hyderabad, Telangana 500049","","093373 46972","24","4.6","Physiotherapy Center"," · Opens 9am","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=A+M+physiotherapy+home+services%2C+Sai+Ram+Colony%2C+Sri+Sai+Ram+Colony%2C+Old+Hafeezpet%2C+Janapriya+Nagar%2C+Hafeezpet%2C+Miyapur%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Dr SriCharan Physiotherapy","F9G6+GQP, New Hafeezpet, Marthanda Nagar, Hafeezpet, Hyderabad, Telangana 500049","","","3","4.3","Physiotherapist","","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=Dr+SriCharan+Physiotherapy+F9G6%2BGQP%2C+New+Hafeezpet%2C+Marthanda+Nagar%2C+Hafeezpet%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Yuvaraj physiotherapy services","Jaya Prakash Narayan Nagar, Miyapur, Hyderabad, Telangana 500049","","063037 32747","10","4.8","Physiotherapist","","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=Yuvaraj+physiotherapy+services+Jaya+Prakash+Narayan+Nagar%2C+Miyapur%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Parnika's Retrieve clinics","Ramakrishna Nagar, Hafeezpet, Madeenaguda, Hyderabad, Telangana 500049","","099492 94777","47","5","Physiotherapy Center"," · Opens 5pm","Physiotherapy","Hafeezpet","500049","https://www.google.com/maps/search/?api=1&query=Parnika%27s+Retrieve+clinics+Ramakrishna+Nagar%2C+Hafeezpet%2C+Madeenaguda%2C+Hyderabad%2C+Telangana+500049","Physiotherapy"
"Vaishnavi Physiotherapy & Sports Rehab","A, 2nd Floor, H.No :1-3-183/40, 201, Gandhi Nagar, Kavadiguda, Newbakaram, Hyderabad, Telangana 500080","vaishnaviphysio.com","099121 55511","73","4.9","Physiotherapy Center"," · Opens 10am","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=Vaishnavi+Physiotherapy+%26+Sports+Rehab+A%2C+2nd+Floor%2C+H.No+%3A1-3-183%2F40%2C+201%2C+Gandhi+Nagar%2C+Kavadiguda%2C+Newbakaram%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"Mahalaxmi Physiotherapy Clinic","Mahalaxmi Medical And General Stores, Gandhinagar, LIC Colony, Lower Tank Bund, Kavadiguda, Hyderabad, Telangana 500080","","099121 88661","22","5","Physiotherapy Center","","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=Mahalaxmi+Physiotherapy+Clinic+Mahalaxmi+Medical+And+General+Stores%2C+Gandhinagar%2C+LIC+Colony%2C+Lower+Tank+Bund%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"Vijaya Clinic- Vijaya Physiotheraphy Clinic","Gandhi Nagar Road, near Shoba Emporium, Racha Enclave, Bharathnagar, Kavadiguda, Hyderabad, Telangana 500080","","093951 11452","119","4.9","Physiotherapist"," · Opens 8am","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=Vijaya+Clinic-+Vijaya+Physiotheraphy+Clinic+Gandhi+Nagar+Road%2C+near+Shoba+Emporium%2C+Racha+Enclave%2C+Bharathnagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"RISHI PHYSIOTHERAPY CLINIC REHABILITATION CENTER","#1-3-1/A/48, Padmashali Colony, Kavadiguda, Hyderabad, Telangana 500080","","","31","5","Physiotherapy Center"," · Opens 7am","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=RISHI+PHYSIOTHERAPY+CLINIC+REHABILITATION+CENTER+%231-3-1%2FA%2F48%2C+Padmashali+Colony%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"AGRAWALS' NEURO AND PHYSIOTHERAPY CENTRE (AGRAWAL'S SPECIALITY CLINICS)","SECOND FLOOR, TBC NOVA, 202, Kavadiguda Road, above RATNADEEP SUPERMARKET, Bhagyalaxmi Nagar, Kavadiguda, Hyderabad, Telangana 500080","","079951 03887","41","5","Neurologist"," · Opens 10am","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=AGRAWALS%27+NEURO+AND+PHYSIOTHERAPY+CENTRE+%28AGRAWAL%27S+SPECIALITY+CLINICS%29+SECOND+FLOOR%2C+TBC+NOVA%2C+202%2C+Kavadiguda+Road%2C+above+RATNADEEP+SUPERMARKET%2C+Bhagyalaxmi+Nagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"AISHWARYA HEALTH FOUNDATION","Bhagyalaxmi Nagar, Kavadiguda, Hyderabad, Telangana 500080","g.co","088851 88660","9","5","Physiotherapist","","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=AISHWARYA+HEALTH+FOUNDATION+Bhagyalaxmi+Nagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
"Kranthi's Physiotherapy Clinic","Street No. 9, New Bakaram, Gandhi Nagar, Kavadiguda Udaya Crest Apartments, lane, near the intersection, Hyderabad, Telangana 500020","","063097 08818","6","4.3","Physiotherapy Center"," · Opens 10am","Physiotherapy","Bansilalpet","500020","https://www.google.com/maps/search/?api=1&query=Kranthi%27s+Physiotherapy+Clinic+Street+No.+9%2C+New+Bakaram%2C+Gandhi+Nagar%2C+Kavadiguda+Udaya+Crest+Apartments%2C+lane%2C+near+the+intersection%2C+Hyderabad%2C+Telangana+500020","Physiotherapy"
"Jeevan Physiotherapy Clinic","Gandhi Hospital, 6-4-492 New, Krishna Nagar Colony, Secunderabad, Telangana 500080","","099491 02000","97","5","Medical clinic"," · Opens 8pm","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=Jeevan+Physiotherapy+Clinic+Gandhi+Hospital%2C+6-4-492+New%2C+Krishna+Nagar+Colony%2C+Secunderabad%2C+Telangana+500080","Physiotherapy"
"PROJECT GLOBAL PHYSIOTHERAPY CLINIC","GROUND FLOOR, SRI SAI ESWARA ENCLAVE, 1-7-388, opposite Care hospital, opposite Hyderabad, Telangana 500020","hplix.in","","","","Physiotherapy Center","","Physiotherapy","Bansilalpet","500020","https://www.google.com/maps/search/?api=1&query=PROJECT+GLOBAL+PHYSIOTHERAPY+CLINIC+GROUND+FLOOR%2C+SRI+SAI+ESWARA+ENCLAVE%2C+1-7-388%2C+opposite+Care+hospital%2C+opposite+Hyderabad%2C+Telangana+500020","Physiotherapy"
"MAHALAXMI POLY CLINIC AND DIAGNOSTIC CENTER,PHYSIOTHERAPY AND PHARMACY","opp. parameshwara ramalayam temple, Padma Colony, Gandhi Nagar, Kavadiguda, Hyderabad, Telangana 500080","","099121 88661","137","4.9","Physiotherapist","","Physiotherapy","Bansilalpet","500080","https://www.google.com/maps/search/?api=1&query=MAHALAXMI+POLY+CLINIC+AND+DIAGNOSTIC+CENTER%2CPHYSIOTHERAPY+AND+PHARMACY+opp.+parameshwara+ramalayam+temple%2C+Padma+Colony%2C+Gandhi+Nagar%2C+Kavadiguda%2C+Hyderabad%2C+Telangana+500080","Physiotherapy"
